Package,Class name,Branch Coverage,(1) % Branch coverage,(4) McCabe complexity
org.apache.commons.collections4.functors,AndPredicate,1,100,6
org.apache.commons.collections4.functors,AllPredicate,1,100,10
org.apache.commons.collections4.functors,NotPredicate,1,100,5
org.apache.commons.collections4.functors,TransformerPredicate,1,100,5
org.apache.commons.collections4.bidimap,AbstractDualBidiMap,1,100,34
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseViewMapIterator,1,100,8
org.apache.commons.collections4.bidimap,TreeBidiMap,0.885375494,88.53754941,192
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.Values,1,100,5
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.MapEntry,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySetIterator,1,100,4
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySet,0.9,90,8
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewMapIterator,1,100,8
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.BidiMapIterator,1,100,16
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.View,0.961538462,96.15384615,20
org.apache.commons.collections4.bidimap,TreeBidiMap.ValueView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.KeyView,1,100,6
org.apache.commons.collections4.bidimap,TreeBidiMap.ViewIterator,0.55,55,16
org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,1,100,14
org.apache.commons.collections4.bidimap,TreeBidiMap.Inverse,0.555555556,55.55555556,33
org.apache.commons.collections4.bidimap,TreeBidiMap.Node,0.739130435,73.91304348,33
org.apache.commons.collections4.bidimap,TreeBidiMap.EntryView,0.916666667,91.66666667,10
org.apache.commons.collections4.bidimap,DualTreeBidiMap,0.833333333,83.33333333,26
org.apache.commons.collections4.bidimap,DualTreeBidiMap.ViewMap,1,100,10
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySet,1,100,5
org.apache.commons.collections4.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,1,100,17
org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,1,100,15
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.ValuesIterator,1,100,4
org.apache.commons.collections4.bidimap,TreeBidiMap.InverseEntryView,0.916666667,91.66666667,10
org.apache.commons.collections4.bidimap,UnmodifiableSortedBidiMap,1,100,17
org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySetIterator,1,100,4
org.apache.commons.collections4.map,UnmodifiableEntrySet,0.833333333,83.33333333,18
org.apache.commons.collections4.map,LazyMap,1,100,8
org.apache.commons.collections4.map,StaticBucketMap.Node,0.9,90,15
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceBaseIterator,0.916666667,91.66666667,19
org.apache.commons.collections4.map,Flat3Map.EntrySet,0.833333333,83.33333333,8
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValues,1,100,4
org.apache.commons.collections4.map,TransformedSortedMap,0.5,50,11
org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceStrength,0.25,25,6
org.apache.commons.collections4.map,FixedSizeMap,0.333333333,33.33333333,16
org.apache.commons.collections4.map,PredicatedMap,1,100,17
org.apache.commons.collections4.map,Flat3Map.FlatMapEntry,0.380952381,38.0952381,32
org.apache.commons.collections4.map,Flat3Map.Values,0.75,75,7
org.apache.commons.collections4.map,AbstractReferenceMap,0.782608696,78.26086957,53
org.apache.commons.collections4.map,UnmodifiableMap,0.5,50,14
org.apache.commons.collections4.map,CompositeMap,0.942307692,94.23076923,48
org.apache.commons.collections4.map,AbstractHashedMap,0.919117647,91.91176471,120
org.apache.commons.collections4.map,TransformedMap,0.833333333,83.33333333,18
org.apache.commons.collections4.map,PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,0.75,75,6
org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator,1,100,5
org.apache.commons.collections4.map,AbstractLinkedMap.LinkIterator,0.777777778,77.77777778,18
org.apache.commons.collections4.map,StaticBucketMap.BaseIterator,1,100,10
org.apache.commons.collections4.map,Flat3Map.FlatMapIterator,0.576923077,57.69230769,25
org.apache.commons.collections4.map,StaticBucketMap.KeySet,0.75,75,10
org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapIterator,1,100,16
